,nmin,minleaf,ntrees,nfeats,avg_accuracy
555,6,1,200,6,0.7454385964912281
556,6,1,200,7,0.7268421052631578
557,6,1,200,8,0.7374736842105263
558,6,1,200,9,0.7108771929824561
559,6,1,200,10,0.7374736842105263
560,6,2,10,1,0.6844912280701754
561,6,2,10,2,0.633859649122807
562,6,2,10,3,0.6710877192982456
563,6,2,10,4,0.7294035087719298
564,6,2,10,5,0.6924210526315789
565,6,2,10,6,0.6737543859649122
566,6,2,10,7,0.7162456140350877
567,6,2,10,8,0.7243157894736842
568,6,2,10,9,0.7029824561403508
569,6,2,10,10,0.7028771929824561
570,6,2,20,1,0.6631228070175439
571,6,2,20,2,0.7110526315789473
572,6,2,20,3,0.7163859649122806
573,6,2,20,4,0.6974035087719297
574,6,2,20,5,0.7190175438596491
575,6,2,20,6,0.7054035087719297
576,6,2,20,7,0.7190526315789474
577,6,2,20,8,0.716421052631579
578,6,2,20,9,0.7322456140350877
579,6,2,20,10,0.753578947368421
580,6,2,30,1,0.665859649122807
581,6,2,30,2,0.7110526315789474
582,6,2,30,3,0.7162807017543861
583,6,2,30,4,0.7242105263157894
584,6,2,30,5,0.7108771929824562
585,6,2,30,6,0.7374035087719297
586,6,2,30,7,0.7349122807017544
587,6,2,30,8,0.7320701754385965
588,6,2,30,9,0.7403157894736843
589,6,2,30,10,0.7430877192982457
590,6,2,40,1,0.6923508771929824
591,6,2,40,2,0.7029824561403509
592,6,2,40,3,0.726842105263158
593,6,2,40,4,0.7349122807017544
594,6,2,40,5,0.7270526315789473
595,6,2,40,6,0.7294736842105264
596,6,2,40,7,0.6948421052631579
597,6,2,40,8,0.7135789473684211
598,6,2,40,9,0.7294035087719297
599,6,2,40,10,0.7135087719298245
600,6,2,50,1,0.6950175438596492
601,6,2,50,2,0.7295789473684211
602,6,2,50,3,0.7162456140350877
603,6,2,50,4,0.7321052631578947
604,6,2,50,5,0.721719298245614
605,6,2,50,6,0.6869824561403509
606,6,2,50,7,0.7188070175438596
607,6,2,50,8,0.756140350877193
608,6,2,50,9,0.726842105263158
609,6,2,50,10,0.724140350877193
610,6,2,100,1,0.7243157894736842
611,6,2,100,2,0.713578947368421
612,6,2,100,3,0.7003859649122808
613,6,2,100,4,0.7322456140350877
614,6,2,100,5,0.718982456140351
615,6,2,100,6,0.7109473684210527
616,6,2,100,7,0.7108771929824561
617,6,2,100,8,0.7561052631578947
618,6,2,100,9,0.7242456140350878
619,6,2,100,10,0.7347368421052632
620,6,2,150,1,0.7190175438596491
621,6,2,150,2,0.7322105263157894
622,6,2,150,3,0.7215789473684209
623,6,2,150,4,0.7321754385964911
624,6,2,150,5,0.7269122807017544
625,6,2,150,6,0.7214736842105263
626,6,2,150,7,0.734842105263158
627,6,2,150,8,0.7269122807017544
628,6,2,150,9,0.7268070175438597
629,6,2,150,10,0.7188771929824561
630,6,2,200,1,0.716280701754386
631,6,2,200,2,0.7375087719298244
632,6,2,200,3,0.7269122807017544
633,6,2,200,4,0.7082105263157895
634,6,2,200,5,0.7374736842105263
635,6,2,200,6,0.7347719298245614
636,6,2,200,7,0.7294736842105263
637,6,2,200,8,0.7508070175438597
638,6,2,200,9,0.7374736842105263
639,6,2,200,10,0.7321754385964911
640,6,3,10,1,0.6923859649122807
641,6,3,10,2,0.6952631578947368
642,6,3,10,3,0.7294385964912282
643,6,3,10,4,0.6765263157894738
644,6,3,10,5,0.732140350877193
645,6,3,10,6,0.6685263157894737
646,6,3,10,7,0.7295087719298246
647,6,3,10,8,0.7402105263157895
648,6,3,10,9,0.7162456140350877
649,6,3,10,10,0.732280701754386
650,6,3,20,1,0.6578947368421052
651,6,3,20,2,0.7324912280701754
652,6,3,20,3,0.6844210526315789
653,6,3,20,4,0.7348421052631579
654,6,3,20,5,0.7030175438596491
655,6,3,20,6,0.700280701754386
656,6,3,20,7,0.7188070175438597
657,6,3,20,8,0.6924210526315789
658,6,3,20,9,0.7030175438596491
659,6,3,20,10,0.6896491228070175
660,6,3,30,1,0.7138245614035088
661,6,3,30,2,0.6845263157894738
662,6,3,30,3,0.6974736842105264
663,6,3,30,4,0.7109473684210526
664,6,3,30,5,0.6950877192982455
665,6,3,30,6,0.7428771929824561
666,6,3,30,7,0.6870526315789475
667,6,3,30,8,0.7478947368421053
668,6,3,30,9,0.7161754385964911
669,6,3,30,10,0.7056491228070175
670,6,3,40,1,0.6632280701754386
671,6,3,40,2,0.7294035087719297
672,6,3,40,3,0.7323157894736843
673,6,3,40,4,0.7215789473684211
674,6,3,40,5,0.6949824561403509
675,6,3,40,6,0.7135789473684211
676,6,3,40,7,0.7029473684210525
677,6,3,40,8,0.729578947368421
678,6,3,40,9,0.7135438596491228
679,6,3,40,10,0.7295789473684211
680,6,3,50,1,0.6845263157894738
681,6,3,50,2,0.7295789473684209
682,6,3,50,3,0.726701754385965
683,6,3,50,4,0.7056491228070175
684,6,3,50,5,0.7347719298245614
685,6,3,50,6,0.726982456140351
686,6,3,50,7,0.7587368421052632
687,6,3,50,8,0.7188421052631578
688,6,3,50,9,0.7374385964912282
689,6,3,50,10,0.7082105263157895
690,6,3,100,1,0.7189473684210527
691,6,3,100,2,0.7136842105263156
692,6,3,100,3,0.713578947368421
693,6,3,100,4,0.7375438596491228
694,6,3,100,5,0.7348771929824561
695,6,3,100,6,0.7348771929824561
696,6,3,100,7,0.7348070175438597
697,6,3,100,8,0.7375789473684211
698,6,3,100,9,0.7587017543859649
699,6,3,100,10,0.7188771929824561
700,6,3,150,1,0.7002807017543861
701,6,3,150,2,0.7349122807017544
702,6,3,150,3,0.7241754385964912
703,6,3,150,4,0.7322807017543861
704,6,3,150,5,0.7162456140350877
705,6,3,150,6,0.7295438596491228
706,6,3,150,7,0.745438596491228
707,6,3,150,8,0.721578947368421
708,6,3,150,9,0.7454385964912281
709,6,3,150,10,0.7241403508771931
710,6,3,200,1,0.7163157894736842
711,6,3,200,2,0.7056842105263159
712,6,3,200,3,0.7321754385964911
713,6,3,200,4,0.7242807017543861
714,6,3,200,5,0.732280701754386
715,6,3,200,6,0.7268070175438597
716,6,3,200,7,0.7268771929824562
717,6,3,200,8,0.7508070175438596
718,6,3,200,9,0.7241754385964911
719,6,3,200,10,0.7321754385964913
720,7,1,10,1,0.6685263157894737
721,7,1,10,2,0.6551578947368422
722,7,1,10,3,0.6844561403508772
723,7,1,10,4,0.6791228070175438
724,7,1,10,5,0.7030877192982457
725,7,1,10,6,0.6604561403508772
726,7,1,10,7,0.7189122807017545
727,7,1,10,8,0.6763859649122808
728,7,1,10,9,0.7161754385964911
729,7,1,10,10,0.7004210526315789
730,7,1,20,1,0.7030175438596491
